motif,model,instrument,product_type,fired,n_kept,loss,base_recall
bear,qwen4,title,toy,True,659,0.21103117505995206,0.23980815347721823
bear,qwen4,category_leaf,toy,False,0,0.0,0.23980815347721823
bees,qwen4,title,toy,True,659,0.10344827586206896,0.10344827586206896
bees,qwen4,category_leaf,toy,False,0,0.0,0.10344827586206896
birds,qwen4,title,toy,True,659,0.07777777777777778,0.07777777777777778
birds,qwen4,category_leaf,toy,False,0,0.0,0.07777777777777778
butterfly,qwen4,title,jewelry,True,400,0.12467191601049868,0.13123359580052493
butterfly,qwen4,category_leaf,jewelry,False,0,0.0,0.13123359580052493
crab,qwen4,title,food,True,317,1.0,1.0
crab,qwen4,category_leaf,food,False,0,0.0,1.0
daisy,qwen4,title,flower,True,2337,0.5615384615384615,0.7692307692307693
daisy,qwen4,category_leaf,flower,False,0,0.0,0.7692307692307693
dinosaur,qwen4,title,toy,True,659,0.708029197080292,0.7299270072992701
dinosaur,qwen4,category_leaf,toy,False,0,0.0,0.7299270072992701
dinosaurs,qwen4,title,toy,True,659,0.0,0.07142857142857142
dinosaurs,qwen4,category_leaf,toy,False,0,0.0,0.07142857142857142
elephant,qwen4,title,toy,True,659,0.3103448275862069,0.31347962382445144
elephant,qwen4,category_leaf,toy,False,0,0.0,0.31347962382445144
feeder,qwen4,title,accessory,True,3851,1.0,1.0
feeder,qwen4,category_leaf,accessory,True,1923,1.0,1.0
fish,qwen4,title,accessory,True,3851,0.2801120448179272,0.2801120448179272
fish,qwen4,category_leaf,accessory,True,1923,0.27170868347338933,0.2801120448179272
flamingo,qwen4,title,print,True,1347,0.7777777777777777,0.7936507936507936
flamingo,qwen4,category_leaf,print,True,113,0.7936507936507936,0.7936507936507936
flamingos,qwen4,title,dress,True,102,0.0,0.0
flamingos,qwen4,category_leaf,dress,False,0,0.0,0.0
frog,qwen4,title,toy,True,659,0.9888888888888889,1.0
frog,qwen4,category_leaf,toy,False,0,0.0,1.0
fruit,qwen4,title,fruit,True,132,0.0,0.8547008547008547
fruit,qwen4,category_leaf,fruit,False,0,0.0,0.8547008547008547
lily,qwen4,title,flower,True,2337,0.8148148148148149,1.0
lily,qwen4,category_leaf,flower,False,0,0.0,1.0
lotus,qwen4,title,flower_vase,True,2358,0.0,0.0
lotus,qwen4,category_leaf,flower_vase,False,0,0.0,0.0
owls,qwen4,title,ornament,True,54,0.0,0.0
owls,qwen4,category_leaf,ornament,False,0,0.0,0.0
