row,motif,source,llm_label,llm_rationale,n_distinct_class,human_label,notes,stratum,random_flag
1,dinosaur,WANDS,type-less,"It refers to a theme that can be applied to various product categories like toys, decor, and clothing.",41,type-less,,type-less,1
2,butterfly,WANDS,type-less,It refers to a decorative motif that can appear on various products.,28,type-less,,type-less,1
3,queen,WANDS,ambiguous,It can refer to a bed size or a royal figure.,25,ambiguous,Technically it is ambiguous by your definition but no one buys a queen in e-commerce website so it means the bed size.  The only ambiguous part here is it could be a costume of a queen.,ambiguous,1
4,sunflowers,WANDS,type-less,It refers to a decorative motif that can appear on various products.,17,type-less,,type-less,1
5,flamingo,WANDS,type-less,A shopper searching for 'flamingo' is likely looking for items featuring the motif rather than a specific product category.,15,type-less,,type-less,1
6,bees,WANDS,type-less,"The term 'bees' refers to a theme that could apply to various products like decor, art, or clothing.",27,type-less,,type-less,1
7,rooster,WANDS,type-less,A shopper searching for 'rooster' is likely looking for themed items across various categories.,30,type-less,,type-less,1
8,simple,WANDS,ambiguous,The term 'simple' can describe a style or design but is not a specific product category.,15,ambiguous,,ambiguous,1
9,lily,WANDS,type-less,It refers to a flower that can inspire various themed products across categories.,15,type-less,,type-less,1
10,bulb,WANDS,ambiguous,It could refer to a light bulb or a plant bulb.,12,ambiguous,,ambiguous,1
11,bear,WANDS,type-less,"A shopper searching for 'bear' is likely looking for items featuring bears, such as decor or clothing, rather than a specific product category.",14,type-less,,type-less,1
12,fish,WANDS,type-less,"A shopper searching for 'fish' may want themed items like decor or toys, not a specific product category.",12,type-less,,type-less,1
13,birds,WANDS,type-less,"The term 'birds' refers to a theme that can apply to various products like decor, toys, and art.",12,type-less,,type-less,1
14,elephant,WANDS,type-less,The term 'elephant' refers to a decorative motif that can appear on various products.,14,type-less,,type-less,1
15,roses,WANDS,type-less,"A shopper searching for 'roses' is likely looking for items featuring or themed on roses, such as decor or gifts.",11,type-less,,type-less,1
16,owls,WANDS,type-less,"The term 'owls' refers to a decorative motif that can appear on various products like art, textiles, and home decor.",12,type-less,,type-less,1
17,pineapples,WANDS,type-less,The term refers to a fruit but does not specify a product category.,10,type-less,,type-less,1
18,lotus,WANDS,type-less,It refers to a decorative motif that can appear on various products.,9,type-less,,type-less,1
